TimeStamp,Distance
0.3533334,30.75
0.4533619,30.75
0.5545554,30.75
0.6558935,30.75
0.7568943,30.75
0.857495,30.75
0.9604483,30.75
1.06107,5.678401
1.163792,6.205326
1.264878,6.809331
1.365478,7.54309
1.46585,8.35288
1.567577,9.238551
1.669155,30.75
1.770573,30.75
1.871176,30.75
1.973448,30.75
2.075564,30.75
2.176908,8.456572
2.27868,30.75
2.379365,30.75
2.479465,30.75
2.580096,30.75
2.680649,30.75
2.783161,30.75
2.884755,30.75
2.986338,30.75
3.087044,30.75
3.189848,30.75
3.290663,30.75
3.390854,30.75
3.492459,30.75
3.592946,30.75
3.693094,30.75
3.793749,30.75
3.894747,4.431724
3.996042,17.33053
4.097343,18.19542
4.198889,4.189861
4.300043,4.94464
4.400046,5.57834
4.501145,6.143401
4.603063,6.83816
4.704838,9.289538
4.805757,3.729401
4.906049,4.39913
5.006379,4.989517
5.107431,4.101299
5.20816,7.062606
5.308685,3.061944
5.410878,3.525627
5.51285,2.367795
5.613547,3.671821
5.71445,3.894463
5.816236,4.643891
5.916856,5.519836
6.018264,6.470062
6.120345,7.461972
6.222094,3.187465
6.323906,4.099201
6.426013,30.75
6.527147,30.75
6.627843,16.59279
6.729646,30.75
6.830336,4.071123
6.930836,4.500788
7.032438,5.075733
7.132852,5.644035
7.234438,3.328736
7.336762,3.611978
7.437459,4.253479
7.538643,12.32223
7.638752,12.82305
7.740751,12.92688
7.843344,13.29736
7.94494,13.94881
8.045083,14.62795
8.146791,15.17685
8.248243,15.76157
8.349547,16.35135
8.451644,16.99444
8.553636,4.127708
8.655128,6.427754
8.756039,6.720138
8.857915,7.403486
8.958553,8.260586
9.059657,14.00817
9.161354,15.11587
9.261844,15.62728
9.362742,16.23384
9.464737,3.479418
9.565541,3.850945
9.667046,4.410775
9.767349,5.095424
9.868567,2.337352
9.969963,2.755156
10.07176,3.439799
10.17209,4.559607
10.27396,8.597083
10.37663,9.436961
10.47831,10.54291
10.57966,10.95869
10.67968,7.929806
10.78105,8.277971
10.88125,8.998878
10.98132,3.564867
11.08135,5.094941
11.18154,5.915693
11.28185,6.756701
11.38413,3.609342
11.48414,6.848707
11.58644,7.208945
11.68665,7.808988
11.78876,8.734653
11.89005,5.774701
11.99067,6.51626
12.09189,7.379129
12.19317,10.55249
12.29445,5.484986
12.39498,0.7505179
12.49553,30.75
12.59654,30.75
12.69794,30.75
12.79835,30.75
12.90054,30.75
13.00186,30.75
13.10465,3.130042
13.20577,3.310945
13.3063,3.793983
13.40695,4.911865
13.50696,5.644608
13.6094,6.424867
13.71006,7.174102
13.8115,4.934098
13.91246,1.901031
14.01344,2.319425
14.11395,2.703736
14.21615,3.590549
14.31717,2.928205
14.41725,3.502938
14.51864,4.053154
14.61925,4.195196
14.71986,4.76487
14.82093,6.525568
14.92236,6.024556
15.02482,6.248472
15.12688,5.01934
15.22705,7.810791
15.32737,8.61622
15.42749,9.08041
15.53005,9.617436
15.63043,3.255016
15.73224,4.071465
15.83414,7.338176
15.93424,8.029044
16.03664,8.982698
16.13796,10.65385
16.24069,11.3987
16.34222,12.19217
16.44232,30.75
16.54461,2.39409
16.64911,4.629275
16.75044,5.326654
16.85247,5.006145
16.95277,7.739929
17.05348,8.332029
17.15374,9.273804
17.25465,4.046838
17.35625,6.838312
17.45685,7.375435
17.55731,6.091005
17.65894,6.609677
17.75929,7.340949
17.86024,3.246772
17.96178,3.389271
18.06401,3.594449
18.16492,4.408566
18.27556,14.09756
18.37817,14.70447
18.48008,15.29182
18.58225,15.82323
18.68345,9.069602
18.78484,5.250892
18.88597,5.618207
18.98717,6.095122
19.08946,6.697861
19.19148,7.425191
19.29366,8.271425
19.39555,8.935184
19.49736,9.793838
19.60841,3.00317
19.70893,3.258671
19.81092,4.000884
19.91325,6.448891
20.01386,6.989675
20.11585,7.605386
20.21726,8.355972
20.31898,30.75
20.42134,30.75
20.52359,3.858437
20.62452,3.291336
20.72687,3.633924
20.82865,4.379354
20.92914,5.296884
21.03127,7.473313
21.14158,7.962976
21.2446,8.587173
21.34705,9.117797
21.44936,9.807157
21.54985,3.815543
21.65292,2.574841
21.75327,2.942678
21.85475,3.622408
21.95555,4.690819
22.05805,12.85961
22.15814,13.8528
22.25867,11.83257
22.35933,12.21471
22.46158,3.658008
22.56184,4.248063
22.66377,30.75
